k,snr_db,method,frames,errors,fer,fer_ci95_lower,fer_ci95_upper,ber,elapsed_s,details
18,2.0,MBBP-16,10794,500,0.046322030757828425,0.042433485559025944,0.05045758897536302,0.014577469552455655,4.562015745090321,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,2.5,MBBP-16,28483,500,0.017554330653372186,0.01606102770894974,0.01914716419263062,0.005455217230662233,7.1113627681043,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,3.0,MBBP-16,66526,500,0.007515858461353456,0.006873594391895309,0.00820162106009679,0.002335165294008453,9.851914933184162,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,3.5,MBBP-16,248973,500,0.002008249890550381,0.0018362113072481836,0.002192041041638867,0.0006128031094593734,18.70358199905604,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,4.0,MBBP-16,1063607,500,0.0004700984480169837,0.0004297993300794565,0.0005131571280020443,0.00014573051888526494,69.73942033713683,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,4.5,MBBP-16,6424615,500,7.782567515718841e-05,7.11529121300253e-05,8.49556467815626e-05,2.3246405636634468e-05,374.21154695702717,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]"
18,2.0,MBBP-8,8056,500,0.062065541211519366,0.05689398837334261,0.06755660023371203,0.018781229804069922,3.1634050318971276,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
18,2.5,MBBP-8,18132,500,0.02757555702625193,0.025240488832061286,0.030063734394085127,0.008314687004296535,4.164670267142355,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
18,3.0,MBBP-8,47431,500,0.010541628892496468,0.009642026353236318,0.011501867808906057,0.0031310311085141892,5.530978258000687,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
18,3.5,MBBP-8,154032,500,0.0032460787368858417,0.002968154446586844,0.0035429524352372983,0.0009779456258110044,6.348797612125054,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
18,4.0,MBBP-8,573036,500,0.0008725455294257254,0.0007977601443327618,0.0009524487956978295,0.0002581349774196297,18.77953623398207,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
18,4.5,MBBP-8,3139929,500,0.00015923926942297103,0.00014558661198237372,0.0001738272702819805,4.601256604088515e-05,78.839279753156,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]"
