k,snr_db,method,frames,errors,fer,fer_ci95_lower,fer_ci95_upper,ber,elapsed_s,details,avg_iterations
18,3.5,MBBP-16,248973,500,0.002008249890550381,0.0018362113072481836,0.002192041041638867,0.0006128031094593734,18.70358199905604,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]",
18,4.0,MBBP-16,1063607,500,0.0004700984480169837,0.0004297993300794565,0.0005131571280020443,0.00014573051888526494,69.73942033713683,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]",
18,4.5,MBBP-16,6424615,500,7.782567515718841e-05,7.11529121300253e-05,8.49556467815626e-05,2.3246405636634468e-05,374.21154695702717,"greedy MBBP-16 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2, 13, 16, 18, 0, 1, 3, 4, 5]",
18,2.0,Subcode ensemble-8,20013,500,0.024983760555638834,0.022865646647209352,0.02724135237593388,0.008150257887928402,4.692617757013068,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,2.5,Subcode ensemble-8,51233,500,0.009759334803739778,0.008926197805472283,0.010648697874489675,0.0031948654125766533,8.203709309920669,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,3.0,Subcode ensemble-8,147438,500,0.0033912559855668145,0.0031009207239831907,0.0037013823736550644,0.0010984439625631177,15.052614709828049,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,3.5,Subcode ensemble-8,584261,500,0.0008557819193819201,0.0007824327843990325,0.0009341507774617143,0.00027857739051880025,49.4690895981621,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,4.0,Subcode ensemble-8,2715303,500,0.0001841415120154178,0.0001683539927830253,0.00020101059228720924,5.967354141756778e-05,209.14398725586943,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,4.5,Subcode ensemble-8,19552535,500,2.5572131695455348e-05,2.337952937405358e-05,2.791498029173603e-05,8.142491457314829e-06,1464.8627455551177,"4 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6]; edges=[1690, 1690, 1686, 1688]",
18,2.0,Subcode ensemble-16,25503,500,0.01960553660353684,0.017939298512622947,0.02138246378641932,0.0067860052567734015,8.495240016840398,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,2.5,Subcode ensemble-16,69959,500,0.007147043268199945,0.006536194798008199,0.007799286632471558,0.0024501879445489273,14.87749993102625,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,3.0,Subcode ensemble-16,217034,500,0.002303786503497148,0.002106456598641295,0.0025145905159262238,0.0007963787694152521,41.09854322089814,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,3.5,Subcode ensemble-16,884674,500,0.0005651799419899308,0.0005167320352099483,0.0006169449261277661,0.00019600081543803187,150.15820672898553,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,4.0,Subcode ensemble-16,4881054,500,0.00010243689170412783,9.365406276230133e-05,0.00011182148512724981,3.531308593698807e-05,813.7303808191791,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,4.5,Subcode ensemble-16,33604111,500,1.4879131901450987e-05,1.3603361258290445e-05,1.6242325129184522e-05,5.142983750571376e-06,2911.4102373309433,"8 tailored index-two subcode SSPCMs x two affine cosets; flooding NMS; alpha=0.5; I_max=20; appended weights=[4, 4, 6, 6, 4, 6, 6, 7]; edges=[1690, 1690, 1686, 1688, 1690, 1683, 1686, 1693]",
18,2.0,OSD-3,34745,500,0.01439055979277594,0.013164632168356475,0.015698613726760256,0.005251869059611181,1.419437994947657,order=3; 988 candidates/frame; selected-order counts=22291/10044/2118/292,
18,2.5,OSD-3,101320,500,0.00493485984998026,0.00451266447577276,0.00538576539591038,0.0017846959813007978,1.713427518028766,order=3; 988 candidates/frame; selected-order counts=73287/23699/3944/390,
18,3.0,OSD-3,340907,500,0.0014666756622773952,0.0013410010987790935,0.0016009427365117515,0.0005325196682370339,3.0835223260801286,order=3; 988 candidates/frame; selected-order counts=270048/62758/7558/543,
18,3.5,OSD-3,1495524,500,0.00033433097696860766,0.0003056687668036711,0.0003649563020340902,0.00012055019798125224,4.354576101992279,order=3; 988 candidates/frame; selected-order counts=1270930/206410/17202/982,
18,4.0,OSD-3,7044257,500,7.097980667088097e-05,6.489398889401116e-05,7.748262078188239e-05,2.5291344446792637e-05,17.74033658998087,order=3; 988 candidates/frame; selected-order counts=6318711/685292/38727/1527,
18,4.5,OSD-3,44773620,500,1.1167290024795851e-05,1.020977956772763e-05,1.219041456436554e-05,3.974137180252746e-06,106.0729432029184,order=3; 988 candidates/frame; selected-order counts=41775321/2889508/106001/2790,
