k,snr_db,method,frames,errors,fer,fer_ci95_lower,fer_ci95_upper,ber,elapsed_s,details,avg_iterations
16,3.5,MBBP-16,766254,500,0.0006525251417937133,0.0005965920816492595,0.0007122872456132523,0.0002434022354309883,149.68744977097958,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs,
16,4.0,MBBP-16,3626755,500,0.0001378642891510455,0.00012604414023294474,0.00015049426317045696,5.1158592885287964e-05,683.3761805780232,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs,
16,4.5,MBBP-16,22577830,500,2.2145618068698366e-05,2.024680851894185e-05,2.4174542675399015e-05,8.171381549602575e-06,4329.378374634078,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs,
16,2.0,Subcode ensemble-8,22152,500,0.022571325388226798,0.02065562394553587,0.02461367524242322,0.008280451942423774,9.94146583089605,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,2.5,Subcode ensemble-8,58311,500,0.008574711460959339,0.007842312770249738,0.0093566304043598,0.003154132752321773,11.71743293502368,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,3.0,Subcode ensemble-8,190861,500,0.0026197075358506978,0.0023953492685685604,0.002859377927454012,0.0009683769697601753,21.947545683942735,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,3.5,Subcode ensemble-8,651782,500,0.0007671276592480308,0.0007013744831439193,0.0008373813403881018,0.00027884481582190324,51.04643006902188,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,4.0,Subcode ensemble-8,3049681,500,0.0001639515739515051,0.00014989492841377695,0.00017897123309574937,6.03497936497683e-05,218.62443224992603,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,4.5,Subcode ensemble-8,19772270,500,2.5287941141811233e-05,2.3119705574020996e-05,2.760475333809464e-05,9.25859762503203e-06,1329.514553416986,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 4 subcode SSPCMs x 2 affine cosets,
16,2.0,Subcode ensemble-16,32939,500,0.015179574364734813,0.01388689316611515,0.016558744308549454,0.005761009889854117,14.996144681004807,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,2.5,Subcode ensemble-16,72268,500,0.0069186915370565115,0.006327299270600966,0.007550174634039564,0.0026143868370026558,20.631915762089193,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,3.0,Subcode ensemble-16,221968,500,0.0022525769480285446,0.0020596289554702107,0.002458700892442334,0.0008499723683894375,44.55981876607984,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,3.5,Subcode ensemble-16,879173,500,0.0005687162822334171,0.0005199653131143597,0.000620805060137148,0.00021529973541693648,149.68744977097958,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,4.0,Subcode ensemble-16,4329446,500,0.00011548821719915205,0.00010558643934767094,0.00012606841173837312,4.3518893274728084e-05,683.3761805780232,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,4.5,Subcode ensemble-16,28552919,500,1.7511344461839436e-05,1.6009883685774548e-05,1.9115692890285955e-05,6.548130997333546e-06,4329.378374634078,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets,
16,2.0,OSD-3,33594,500,0.014883610168482468,0.01361596298707395,0.01623611142988908,0.0057446010294733285,2.94412038102746,order=3; 697 candidates/frame; selected-order counts=21319/9783/2196/296; continued from exact saved 200-error indexed-noise prefix,
16,2.5,OSD-3,96321,500,0.005190976007308894,0.004746919995947721,0.0056652166418677645,0.0019934995796957364,3.2481247188989073,order=3; 697 candidates/frame; selected-order counts=68275/23601/4025/420; continued from exact saved 200-error indexed-noise prefix,
16,3.0,OSD-3,308689,500,0.0016197532144002539,0.0014809714441686372,0.0017680213921020406,0.0006230650698059644,4.538545086979866,order=3; 697 candidates/frame; selected-order counts=239401/60808/7844/636; continued from exact saved 200-error indexed-noise prefix,
16,3.5,OSD-3,1119884,500,0.00044647481346282296,0.0004082004241332604,0.0004873702135439059,0.00017024155506355448,4.859518876997754,order=3; 697 candidates/frame; selected-order counts=936380/167351/15246/907; continued from exact saved 200-error indexed-noise prefix,
16,4.0,OSD-3,5001971,500,9.99605955332408e-05,9.13900720859094e-05,0.00010911833938744279,3.795011942800085e-05,12.23371204920113,order=3; 697 candidates/frame; selected-order counts=4421198/544987/34330/1456; continued from exact saved 200-error indexed-noise prefix,
16,4.5,OSD-3,28427456,500,1.7588629809153518e-05,1.608054247128714e-05,1.9200058872409158e-05,6.606066008637945e-06,50.99324594717473,order=3; 697 candidates/frame; selected-order counts=26208508/2126882/89403/2663; continued from exact saved 200-error indexed-noise prefix,
